"키값","연도","학교종류","학교명","본분교","학교상태","설립","우편번호","주소","도로명주소","행정시","행정구","행정동","전화번호","팩스번호","홈페이지"
"BE_LiST23-0020","2013","전공대학","백석예술대학교","본교","기존","사립","","서울 서초구 방배로9길 23 백석예술대학교","","서울특별시","서초구","방배3동","02-520-0700","02-520-0879","http://www.bau.ac.kr"
"BE_LiST23-0021","2013","사이버대학(대학)","사이버한국외국어대학교","본교","기존","사립","","서울 동대문구 이문동 한국외국어대학교","","서울특별시","동대문구","이문1동","02-2173-2580","02-966-6183","http://www.cufs.ac.kr"
"BE_LiST23-0022","2013","일반대학","삼육대학교","본교","기존","사립","","서울시 노원구 화랑로 815(공릉2동 26-21)","","서울특별시","노원구","공릉2동","02-3399-3636","02-979-5318","http://www.syu.ac.kr"
"BE_LiST23-0023","2013","전문대학(3년제)","삼육보건대학교","본교","학교명 변경","사립","","서울 동대문구 휘경2동","","서울특별시","동대문구","휘경2동","02-2212-0082","02-2215-2380","http://www.shu.ac.kr"
"BE_LiST23-0024","2013","일반대학","상명대학교","본교","기존","사립","","서울 종로구 홍지동 상명대학교","","서울특별시","종로구","부암동","02-2287-5114","02-2287-0031","http://www.smu.ac.kr"
"BE_LiST23-0025","2013","일반대학","서강대학교","본교","기존","사립","","서울 마포구 신수동 서강대학교","","서울특별시","마포구","대흥동","02-705-8114","","http://www.sogang.ac.kr"
"BE_LiST23-0026","2013","일반대학","서경대학교","본교","기존","사립","","서울 성북구 정릉4동 서경대학교","","서울특별시","성북구","정릉3동","02-940-7114","02-919-0345","http://www.skuniv.ac.kr"
"BE_LiST23-0027","2013","일반대학","서울과학기술대학교","본교","학제 변경","국립","","서울 노원구 공릉로 232 (공릉동 172)","","서울특별시","노원구","공릉2동","02-970-6114","02-970-6088","http://www.seoultech.ac.kr"
"BE_LiST23-0028","2013","산업대학","서울과학기술대학교","본교","폐교","국립","","서울시 노원구 공릉로 232 서울과학기술대학교","","서울특별시","노원구","공릉2동","02-970-6114","02-975-8110","http://www.seoultech.ac.kr"
"BE_LiST23-0029","2013","교육대학","서울교육대학교","본교","기존","국립","","서울 서초구 서초중앙로 96(서초동 1650)","","서울특별시","서초구","서초1동","02-3475-2114","02-581-7711","http://www.snue.ac.kr"
"BE_LiST23-0030","2013","일반대학","서울기독대학교","본교","기존","사립","","서울 은평구 갈현로 4길 26-2호","","서울특별시","은평구","신사1동","02-380-2500","02-380-2535","http://www.scu.ac.kr"
"BE_LiST23-0031","2013","일반대학","서울대학교","본교","기존","국립대법인","","서울 관악구 관악로 1 서울대학교","","서울특별시","관악구","낙성대동","02-880-5114","02-885-5272","http://www.snu.ac.kr"
"BE_LiST23-0032","2013","사이버대학(대학)","서울디지털대학교","본교","기존","사립","","서울 마포구 도화동 560번지","","서울특별시","마포구","도화동","02-1644-0982","02-2128-3006","http://www.sdu.ac.kr"
"BE_LiST23-0033","2013","사이버대학(대학)","서울사이버대학교","본교","기존","사립","","서울 강북구 솔매로49길 60(미아동 193-15) 서울사이버대학교","","서울특별시","강북구","미아동","02-944-5000","02-980-2222","http://www.iscu.ac.kr"
