"교육청","소재구","학교명","홈페이지 주소","설립","고등학교 유형","남녀","주야","우편번호","주소","전화번호","1학년 학급수","2학년 학급수","3학년 학급수","특수 학급수","1학년 학생수 계","1학년 여학생 수","2학년 학생수 계","2학년 여학생 수","3학년 학생수 계","3학년 여학생 수","학급당 평균 학생수","정규 교원수 계","정규 여교원수","기간제 교원수 계","기간제 여교원수","직원수","여직원수","보통 교실 수","비고"
"서울시","종로구","경복고등학교","http://www.kyungbock.hs.kr","공립","일반고","남자","주간","110-030","서울특별시 종로구 자하문로28가길 9  경복고등학교 (청운동경복고등학교)","02-397-5214","12","14","14","3","423","0","514","0","507","0","33.6","87","41","6","5","9","2","57",""
"서울시","구로구","경인고등학교","http://www.kyeongin.hs.kr","공립","일반고","공학","주간","152-826","서울특별시 구로구 경인로46길 31 (고척동경인고등학교)","02-2618-3043","14","13","13","3","455","171","498","192","512","171","34.1","85","45","8","5","7","3","52",""
"서울시","성동구","경일고등학교","www.seoulkyungil.hs.kr","공립","자율고","공학","주간","133-819","서울특별시 성동구 성수일로 27 경일고등학교 (성수동1가경일 중.고등학교)","070-4099-7007","5","9","12","3","99","40","220","128","300","161","21.3","57","34","5","5","7","2","43",""
"서울시","구로구","고척고등학교","http://www.gocheok.hs.kr/","공립","자율고","공학","주간","152-832","서울 구로구 중앙로15길 162 (고척동고척고등학교)","02-2684-1593","10","10","10","3","340","169","326","125","292","110","29","66","43","3","1","6","2","38",""
"서울시","강서구","공항고등학교","http://www.konghang.hs.kr","공립","일반고","공학","주간","157-853","서울특별시 강서구 개화동로 495 (방화동공항고등학교)","02-2664-6874","9","9","10","0","239","116","254","120","317","150","28.9","61","29","7","7","7","4","28",""
"서울시","영등포구","관악고등학교","http://kwan-ak.hs.kr","공립","일반고","공학","주간","150-102","서울특별시 영등포구 영등포로6길 26 (양평동2가관악고등학교)","02-2633-5954","11","13","13","3","329","149","400","158","387","167","27.9","81","54","4","4","6","3","45",""
"서울시","광진구","광남고등학교","http://www.gwang-nam.hs.kr","공립","일반고","공학","주간","143-815","서울 광진구 아차산로70길 17-16  광남고등학교 (광장동광남고등학교)","02-2204-8863","17","18","16","0","641","298","644","259","600","225","37","101","69","14","10","7","5","52",""
"서울시","광진구","광양고등학교","http://www.gwangyang.hs.kr","공립","자율고","공학","주간","143-873","서울특별시 광진구 자양로3가길 31 (자양동광양고등학교)","02-446-1435","10","10","10","3","280","134","331","128","308","132","27.8","64","35","3","3","8","3","38",""
"서울시","구로구","구로고등학교","http://kuro.hs.kr","공립","일반고","공학","주간","152-842","서울특별시 구로구 가마산로27길 45 (구로동구로고등학교)","02-851-2064","12","12","12","0","367","152","431","182","438","187","34.3","72","42","10","7","5","2","44",""
"서울시","관악구","구암고등학교","http://www.guahm.hs.kr","공립","일반고","공학","주간","151-050","서울특별시 관악구 성현로 57 (봉천동구암고등학교)","02-879-9819","8","8","8","3","260","152","287","180","274","128","30.4","51","31","3","1","7","3","0",""
"서울시","구로구","구일고등학교","http://www.guil.hs.kr","공립","일반고","공학","주간","152-868","서울특별시 구로구 구일로 90-51 (구로동구일고등학교)","02-858-2549","12","12","12","0","414","151","467","198","471","203","37.6","73","47","8","6","7","4","39",""
"서울시","구로구","구현고등학교","http://www.guhyun.hs.kr","공립","자율고","공학","주간","152-865","서울특별시 구로구 경인로53가길 17 (구로동구현고등학교)","02-2628-8916","10","10","10","0","326","163","310","154","295","147","31","63","42","6","5","7","2","31",""
"서울시","양천구","금옥여자고등학교","http://www.geumok.hs.kr","공립","일반고","여자","주간","158-855","서울특별시 양천구 신정로 213 (신정동금옥여자고등학교)","02-2086-7506","10","10","10","3","302","302","281","281","294","294","26.6","68","50","6","5","7","3","37",""
"서울시","금천구","금천고등학교","http://keumcheon.hs.kr/","공립","자율고","공학","주간","153-030","서울특별시 금천구 시흥대로38길 26 (시흥동금천고등학교)","02-896-3186","11","11","11","3","333","150","322","143","317","142","27","71","42","4","3","6","3","35",""
"서울시","노원구","노원고등학교","http://www.nowon.hs.kr","공립","일반고","공학","주간","139-824","서울특별시 노원구 노원로 586  노원고등학교 (상계동노원고등학교)","02-937-0078","10","11","12","0","291","146","348","147","341","152","29.7","65","33","11","8","7","4","36",""
"서울시","도봉구","누원고등학교","http://www.noowon.hs.kr","공립","일반고","공학","주간","132-010","서울특별시 도봉구 마들로 849 (도봉동누원고등학교)","02-3492-7594","10","10","10","0","254","122","296","125","315","136","28.8","58","35","8","5","6","3","30",""
"서울시","관악구","당곡고등학교","http://www.danggok.hs.kr","공립","자율고","공학","주간","151-050","서울특별시 관악구 봉천로21길 108 (봉천동당곡고등학교)","02-6717-5106","12","12","12","0","353","179","325","171","337","177","28.2","73","44","11","6","6","3","36",""
"서울시","영등포구","대영고등학교","http://www.dy.hs.kr","공립","자율고","공학","주간","150-848","서울특별시 영등포구 도림로86길 16 (신길동대영고등학교)","02-840-8604","10","10","10","0","295","149","288","145","277","120","28.7","61","47","9","8","6","2","38",""
"서울시","도봉구","도봉고등학교","http://db2004.hs.kr","공립","자율고","공학","주간","132-812","서울특별시 도봉구 도봉산길 27 (도봉동도봉고등학교)","02-3491-4285","6","6","6","3","116","38","145","64","142","52","19.2","40","23","5","3","6","2","21",""
"서울시","금천구","독산고등학교","http://www.doksan.hs.kr","공립","일반고","공학","주간","153-820","서울특별시 금천구 문성로 64 (독산동독산고등학교)","02-857-6248","10","11","11","3","306","139","341","153","346","145","28.4","68","48","12","9","6","3","32",""
"서울시","동작구","동작고등학교","http://www.dongjak.hs.kr","공립","일반고","공학","주간","156-883","서울특별시 동작구 솔밭로 51 (사당동동작고등학교(복합정보센타))","02-588-4197","10","12","12","3","330","152","428","251","395","176","31.2","72","46","3","0","7","3","37",""
"서울시","강동구","둔촌고등학교","http://www.doonchon.hs.kr","공립","일반고","공학","주간","134-817","서울특별시 강동구 명일로 140 (둔촌동둔촌고등학교)","02-485-9873","12","13","13","3","361","182","398","180","427","191","28.9","83","46","3","3","7","3","51",""
"서울시","강서구","등촌고등학교","www.dch.hs.kr","공립","자율고","공학","주간","157-930","서울특별시 강서구 공항대로39길 115 (등촌동등촌고등학교)","02-3665-6045","10","10","10","3","305","151","279","141","288","149","26.4","63","32","7","6","7","3","33",""
"서울시","중랑구","면목고등학교","http://www.mmhs.hs.kr","공립","자율고","남자","주간","131-812","서울특별시 중랑구 용마산로72길 36-14 (면목동면목고등학교)","02-438-2186","10","12","12","3","301","0","308","0","342","0","25.7","73","48","11","7","7","2","45",""
"서울시","강동구","명일여자고등학교","http://www.myungil.hs.kr","공립","일반고","여자","주간","134-825","서울특별시 강동구 명일로 350 (명일동명일여자고등학교)","02-481-8192","10","13","14","3","305","305","361","361","403","403","26.7","77","51","4","4","7","2","40",""
"서울시","성동구","무학여자고등학교","http://www.muhak.hs.kr","공립","일반고","여자","주간","133-870","서울특별시 성동구 고산자로 197 무학여자고등학교","02-2200-1882","12","12","13","3","398","398","452","452","490","490","33.5","77","56","7","6","6","4","49",""
"서울시","송파구","문정고등학교","http://mj.hs.kr","공립","일반고","공학","주간","138-200","서울특별시 송파구 송이로34길 62 (문정동문정고등학교)","02-406-0061","10","10","10","3","326","158","338","163","351","148","30.8","64","40","6","6","6","3","34",""
"서울시","송파구","문현고등학교","http://www.munhyeon.hs.kr/","공립","일반고","공학","주간","138-923","서울특별시 송파구 충민로 115 (장지동문현고등학교)","070-4014-4804","9","9","9","3","288","127","296","142","315","149","30","58","30","0","0","6","4","30",""
"서울시","강북구","미양고등학교","http://mi-yang.hs.kr","공립","자율고","공학","주간","142-822","서울특별시 강북구 인수봉로 39 (미아동무유빌딩)","02-982-6104","7","7","7","3","195","84","196","71","209","84","25","48","34","5","4","6","5","24",""
"서울시","서초구","반포고등학교","http://www.banpo.hs.kr","공립","일반고","공학","주간","137-801","서울특별시 서초구 고무래로 71 (반포동반포고등학교)","02-2258-4304","11","11","11","0","406","180","412","170","381","158","36.3","67","41","6","4","7","4","33",""
"서울시","송파구","방산고등학교","www.bangsan.hs.kr","공립","일반고","공학","주간","138-836","서울특별시 송파구 오금로27길 18 (방이동방산고등학교)","02-418-2602","12","12","12","3","395","172","425","206","419","181","31.8","74","50","12","8","8","6","44",""
"서울시","노원구","불암고등학교","http://www.buram.hs.kr","공립","일반고","공학","주간","139-861","서울특별시 노원구 중계로 155 (중계동불암고등학교)","02-935-7300","12","12","12","3","424","194","443","183","443","184","33.6","75","54","6","3","8","4","45",""
"서울시","강북구","삼각산고등학교","http://samgaksan.hs.kr","공립","일반고","공학","주간","142-100","서울특별시 강북구 삼양로19길 40 (미아동삼각산고등학교)","070-7525-2200","10","10","10","3","298","117","297","112","298","119","27.1","63","48","6","3","7","3","33",""
"서울시","관악구","삼성고등학교","http://www.samsung.hs.kr","공립","일반고","공학","주간","151-858","서울특별시 관악구 신림로 41 (신림동삼성고등학교)","02-6493-7533","9","9","9","3","224","113","259","150","236","114","24","59","37","6","5","7","3","30",""
"서울시","노원구","상계고등학교","http://www.sanggye.hs.kr","공립","일반고","남자","주간","139-200","서울특별시 노원구 노해로 432 (상계동상계고등학교)","070-8678-2506","14","14","15","0","417","0","518","0","506","0","33.5","87","48","4","0","7","2","43",""
"서울시","마포구","상암고등학교","http://www.sangam.hs.kr","공립","자율고","공학","주간","121-904","서울특별시 마포구 월드컵북로 445 (상암동상암고등학교)","02-373-0041","10","10","10","3","369","182","350","174","297","151","30.8","66","31","6","6","6","5","35",""
"서울시","서초구","서울고등학교","http://www.seoul.hs.kr","공립","일반고","남자","주간","137-871","서울특별시 서초구 효령로 197 (서초동서울고등학교)","02-582-8151","15","15","15","3","599","0","594","0","617","0","37.7","94","55","7","2","9","3","46",""
"서울시","종로구","서울과학고등학교","http://www.sshs.hs.kr","공립","특수목적고","공학","주간","110-521","서울특별시 종로구 혜화로 63 (명륜1가서울과학고등학교)","02-740-6204","8","8","8","0","126","7","131","7","129","11","16.1","71","35","8","1","11","3","21",""
"서울시","종로구","서울국제고등학교","http://www.sghs.kr","공립","특수목적고","공학","주간","110-521","서울특별시 종로구 성균관로13길 40 (명륜1가서울국제고등학교)","02-743-9385","6","6","6","0","154","118","150","108","151","110","25.3","63","36","1","0","8","2","18",""
"서울시","마포구","서울여자고등학교","http://www.seoulgs.hs.kr","공립","자율고","여자","주간","121-872","서울특별시 마포구 백범로25길 34 (염리동서울여자중고등학교)","02-703-2216","9","12","12","3","251","251","337","337","369","369","26.6","70","44","12","8","6","2","41",""
"서울시","송파구","서울체육고등학교","http://seoul-ph.cschool.net","공립","특수목적고","공학","주간","138-829","서울특별시 송파구 강동대로 232 (방이동서울체육고등학교)","02-2140-9903","4","4","4","0","133","46","132","36","134","39","33.3","43","13","1","0","17","5","13",""
"서울시","서초구","서초고등학교","www.seocho.hs.kr","공립","일반고","공학","주간","137-952","서울특별시 서초구 반포대로27길 29 (서초동서초고등학교)","02-584-4234","12","12","12","0","384","221","400","201","413","257","33.3","73","50","11","10","10","7","37",""
"서울시","성북구","석관고등학교","http://www.seokkwan.hs.kr","공립","일반고","공학","주간","136-816","서울특별시 성북구 한천로70길 30 (석관동석관고등학교)","02-958-1165","11","12","12","0","320","151","392","188","435","160","32.8","71","41","6","5","6","1","36",""
"서울시","강동구","선사고등학교","http://www.sunsa.hs.kr","공립","일반고","공학","주간","134-855","서울 강동구 고덕로25길 17 (암사동암사고등학교)","02-2224-5592","8","8","8","3","246","118","240","113","215","101","26","53","35","4","3","7","4","32",""
"서울시","영등포구","선유고등학교","http://www.seonyoo.hs.kr","공립","일반고","공학","주간","150-866","서울특별시 영등포구 선유로 227  선유고등학교 (양평동4가선유고등학교)","02-2069-0039","9","9","9","3","275","121","290","130","296","141","28.7","61","37","5","4","6","2","30",""
"서울시","중구","성동고등학교","http://www.sungdong.hs.kr","공립","자율고","남자","주간","100-821","서울특별시 중구 퇴계로90길 17 (신당동성동고등학교)","02-2237-2412","10","10","10","3","311","0","285","0","288","0","26.8","62","35","6","3","7","4","36",""
"서울시","성동구","성수고등학교","http://seoulseongsu.hs.kr","공립","일반고","공학","주간","133-923","서울특별시 성동구 서울숲길 18 (성수동1가성수중학교)","02-461-2276","10","11","13","3","289","148","358","182","373","185","27.6","71","45","5","3","5","1","36",""
"서울시","구로구","세종과학고등학교","http://www.sjsh.hs.kr","공립","특수목적고","공학","주간","152-883","서울특별시 구로구 오리로21길 79 (궁동세종과학고등학교)","02-2060-4133","8","8","3","0","157","41","163","27","36","8","18.7","60","34","5","4","8","3","21",""
"서울시","강서구","세현고등학교","http://sehyun.hs.kr","공립","일반고","공학","주간","157-810","서울특별시 강서구 허준로 227 (가양동세현고등학교)","02-3663-1495","9","9","10","3","259","122","244","116","312","186","26.3","60","30","4","1","7","3","33",""
"서울시","동작구","수도여자고등학교","http://www.sudo-gh.hs.kr","공립","일반고","여자","주간","156-850","서울특별시 동작구 여의대방로10길 73  신대방동 (신대방동수도여자고등학교)","02-2102-3506","11","11","11","3","413","413","427","427","448","448","35.8","72","51","7","5","7","3","35",""
"서울시","노원구","수락고등학교","http://www.surak.net","공립","자율고","공학","주간","139-838","서울특별시 노원구 동일로245길 143 (상계동수락고등학교)","070-867-7210","10","10","10","0","272","127","274","127","272","117","27.3","63","36","7","6","5","1","32",""
"서울시","강서구","수명고등학교","http://www.sumyeong.hs.kr","공립","일반고","공학","주간","157-280","서울특별시 강서구 수명로2길 15 (내발산동수명고등학교)","02-2660-5504","9","9","9","3","274","121","246","119","273","160","26.4","56","33","13","12","5","3","30",""
"서울시","은평구","신도고등학교","http://www.sindo.hs.kr","공립","일반고","공학","주간","122-200","서울특별시 은평구 통일로 961 (진관동신도고등학교)","02-3157-0021","10","10","10","3","304","150","282","153","318","183","27.4","62","43","7","3","7","3","36",""
"서울시","구로구","신도림고등학교","http://www.shindorim.hs.kr","공립","일반고","공학","주간","152-886","서울특별시 구로구 경인로67길 159 (신도림동신도림고등학교)","02-2068-7979","8","8","8","3","274","111","306","146","319","144","33.3","53","34","6","4","5","3","27",""
"서울시","관악구","신림고등학교","www.sillim.hs.kr","공립","일반고","공학","주간","151-015","서울특별시 관악구 문성로 119 (신림동신림고등학교)","070-861-1900","8","10","10","3","244","127","291","192","314","209","27.4","62","43","8","6","6","3","31",""
"서울시","양천구","신목고등학교","http://shinmok.hs.kr","공립","일반고","공학","주간","158-887","서울특별시 양천구 안양천로 739 (신정동신목고등학교)","02-2645-4513","14","14","14","2","544","261","560","267","549","172","37.6","87","61","14","11","7","3","45",""
"서울시","양천구","신서고등학교","www.sinseo.hs.kr","공립","일반고","공학","주간","158-860","서울특별시 양천구 은행정로 42 (신정동신서고등학교)","02-2690-0025","7","7","7","3","231","104","275","117","271","113","32.4","45","25","4","2","7","4","24",""
"서울시","중랑구","신현고등학교","http://www.shinhyeon.hs.kr","공립","일반고","공학","주간","131-863","서울특별시 중랑구 봉화산로 174 (상봉동신현고등학교)","02-3422-2715","10","10","10","3","300","112","328","128","305","123","28.3","65","48","9","8","6","3","35",""
"서울시","강남구","압구정고등학교","http://www.apgujeong.hs.kr/","공립","일반고","공학","주간","135-903","서울특별시 강남구 압구정로39길 20  압구정고등학교 (압구정동압구정고등학교)","070-8255-5129","12","13","13","0","351","173","413","211","439","182","31.7","77","43","11","10","7","3","40",""
"서울시","서초구","양재고등학교","http://www.yangjae.hs.kr","공립","일반고","공학","주간","137-863","서울특별시 서초구 남부순환로346길 9 (서초동양재고등학교)","02-571-4459","13","13","13","0","391","172","407","182","434","198","31.6","77","51","11","11","6","2","39",""
"서울시","서초구","언남고등학교","http://www.eonnam.hs.kr","공립","일반고","공학","주간","137-896","서울특별시 서초구 동산로13길 35 (양재동언남고등학교)","02-575-2680","11","11","10","3","289","120","344","148","285","131","26.2","70","51","12","8","7","3","38",""
"서울시","영등포구","여의도고등학교","http://yeoido.hs.kr","공립","일반고","남자","주간","150-882","서울특별시 영등포구 국제금융로7길 37 여의도고등학교","070-8661-3103","11","11","12","3","422","0","358","0","397","0","31.8","71","43","7","6","7","3","35",""
"서울시","영등포구","여의도여자고등학교","http://www.youido-gh.hs.kr","공립","일반고","여자","주간","150-888","서울특별시 영등포구 국제금융로7가길 13 (여의도동여의도여자고등학교)","02-3780-4308","9","10","10","1","330","330","339","339","353","353","34.1","62","41","8","7","6","2","30",""
"서울시","동작구","영등포고등학교","http://www.ydp.hs.kr","공립","일반고","남자","주간","156-807","서울특별시 동작구 등용로8길 5 (대방동영등포고등학교)","02-816-8323","8","10","10","3","225","0","292","0","289","0","26","63","31","5","5","9","7","31",""
"서울시","영등포구","영등포여자고등학교","http://ydpg.hs.kr","공립","일반고","여자","주간","150-840","서울특별시 영등포구 영등포로62길 13 (신길동영등포여자고등학교)","02-843-7956","10","11","11","3","284","284","340","340","350","350","27.8","71","47","4","4","9","6","37",""
"서울시","영등포구","영신고등학교","http://www.ysh.or.kr","공립","일반고","공학","주간","150-860","서울 영등포구 대방천로14길 18  영신고등학교 (신길동영신고등학교)","070-4018-7239","11","13","13","1","390","148","425","164","434","178","32.9","77","52","7","5","6","3","38",""
"서울시","송파구","오금고등학교","http://www.ogum.hs.kr","공립","일반고","공학","주간","138-855","서울특별시 송파구 중대로 247 (오금동오금고등학교)","02-406-0592","12","14","14","0","358","154","452","203","444","210","31.4","80","56","7","5","5","3","43",""
"서울시","용산구","용산고등학교","http://www.yongsan.hs.kr","공립","일반고","남자","주간","140-833","서울특별시 용산구 두텁바위로 60 (용산동2가용산고등학교)","02-3706-6700","13","13","14","3","445","0","455","0","493","0","32.4","83","54","8","5","7","3","43",""
"서울시","중랑구","원묵고등학교","http://wonmook.hs.kr","공립","자율고","공학","주간","131-846","서울특별시 중랑구 숙선옹주로 82  원묵고등학교 (묵동원묵고등학교)","070-4020-6205","10","10","10","0","332","163","325","160","282","145","31.3","62","39","5","4","5","2","30",""
"서울시","노원구","월계고등학교","http://wg.hs.kr","공립","일반고","공학","주간","139-851","서울특별시 노원구 초안산로5길 66 (월계동월계고등학교)","02-908-0062","10","10","10","3","308","146","361","173","355","171","31","64","45","10","8","7","4","36",""
"서울시","은평구","은평고등학교","http://www.ep.hs.kr","공립","일반고","공학","주간","122-946","서울특별시 은평구 갈현로15길 51 (구산동)","02-383-0872","7","7","7","3","208","85","208","98","237","129","27.2","47","32","4","3","5","2","26",""
"서울시","관악구","인헌고등학교","http://www.inhun.hs.kr","공립","일반고","공학","주간","151-814","서울특별시 관악구 인헌9길 74 (봉천동인헌고등학교)","02-886-6253","8","10","10","0","216","106","255","128","263","129","26.2","59","37","10","8","7","4","28",""
"서울시","광진구","자양고등학교","http://www.jayang.hs.kr","공립","일반고","공학","주간","143-861","서울특별시 광진구 뚝섬로37길 28 (자양동자양고등학교)","02-2049-4107","13","14","14","3","434","185","460","202","500","226","31.7","85","43","11","10","7","4","44",""
"서울시","도봉구","자운고등학교","http://jawoon.hs.kr","공립","일반고","공학","주간","132-898","서울특별시 도봉구 노해로69길 150 (창동자운고등학교)","02-998-2929","12","12","12","0","358","158","433","172","443","184","34.3","70","37","8","7","6","4","36",""
"서울시","송파구","잠신고등학교","http://www.jamsin.or.kr","공립","일반고","공학","주간","138-911","서울특별시 송파구 잠실로 24 (잠실동잠신고등학교)","02-417-8770","12","12","14","3","426","195","393","170","465","209","31.3","81","52","9","6","6","3","41",""
"서울시","송파구","잠실고등학교","http://www.jamsil.hs.kr","공립","일반고","남자","주간","138-240","서울특별시 송파구 올림픽로33길  71 (신천동잠실고등학교)","02-2141-3700","12","12","14","0","339","0","376","0","431","0","30.2","77","48","6","6","6","2","40",""
"서울시","송파구","잠일고등학교","http://www.jamil.hs.kr","공립","일반고","공학","주간","138-908","서울특별시 송파구 백제고분로 21 (잠실동잠일고등학교)","02-2141-2007","7","7","7","3","207","91","222","104","188","86","25.7","48","24","1","1","6","4","26",""
"서울시","용산구","중경고등학교","http://jungkyung.hs.kr","공립","자율고","공학","주간","140-853","서울특별시 용산구 이촌로84길 34 (이촌동중경고등학교)","02-793-4154","6","8","8","3","137","76","181","113","187","124","20.2","52","32","3","0","6","2","30",""
"서울시","중랑구","중화고등학교","http://www.jung-hwa.hs.kr","공립","일반고","공학","주간","131-875","서울특별시 중랑구 봉화산로27길 62 (중화동중화고등학교)","02-491-6807","10","11","11","2","280","98","334","117","323","118","27.6","68","40","6","6","7","3","35",""
"서울시","은평구","진관고등학교","http://www.jingwan.hs.kr","공립","일반고","공학","주간","122-200","서울특별시 은평구 진관4로 26 (진관동진관고등학교)","02-358-0782","11","11","11","3","359","153","354","174","378","198","30.3","70","47","4","3","6","4","40",""
"서울시","송파구","창덕여자고등학교","http://www.changduk.hs.kr","공립","일반고","여자","주간","138-829","서울특별시 송파구 양재대로 1240  창덕여자고등학교 (방이동창덕여자고등학교)","02-401-4924","14","14","14","1","436","436","469","469","527","527","33.3","87","56","5","5","8","5","43",""
"서울시","도봉구","창동고등학교","http://www.changdong.hs.kr","공립","일반고","공학","주간","132-925","서울특별시 도봉구 노해로62길 7 (창동창동고등학교)","070-4377-3607","13","14","14","3","415","188","520","220","530","224","33.3","89","53","4","4","6","3","44",""
"서울시","강남구","청담고등학교","http://www.chungdam.hs.kr","공립","일반고","공학","주간","135-906","서울특별시 강남구 압구정로 419  청담고등학교 (압구정동청담고등학교)","02-3496-8302","10","11","11","3","317","167","360","210","346","222","29.2","69","52","10","10","9","3","35",""
"서울시","동대문구","청량고등학교","http://www.chungryang.hs.kr","공립","자율고","공학","주간","130-866","서울특별시 동대문구 왕산로 303 (청량리동청량고등학교)","02-959-4362","12","12","12","3","377","141","382","184","335","161","28.1","77","48","12","9","7","4","42",""
"서울시","중랑구","태릉고등학교","http://www.taereung.hs.kr","공립","일반고","공학","주간","131-846","서울특별시 중랑구 신내로23길 36 태릉고등학교","02-974-6251","10","12","12","3","335","118","433","146","444","143","32.8","69","39","4","3","9","3","34",""
"서울시","서대문구","한성과학고등학교","http://hansung-sh.hs.kr","공립","특수목적고","공학","주간","120-080","서울특별시 서대문구 통일로 279-79 (현저동한성과학고등학교)","02-6917-0000","7","7","3","0","140","26","140","31","26","7","18","55","25","4","3","12","3","22",""
"서울시","강북구","혜화여자고등학교","http://hyehwa-h.hs.kr","공립","일반고","여자","주간","142-886","서울특별시 강북구 인수봉로 127 (수유동혜화여자고등학교)","02-987-8342","11","12","12","3","302","302","391","391","410","410","29","75","51","4","4","8","5","37",""
"서울시","도봉구","효문고등학교","http://www.hyomun.hs.kr","공립","일반고","공학","주간","132-887","서울특별시 도봉구 우이천로 432 (쌍문동효문중 고등학교)","02-992-0778","8","8","8","3","223","117","246","117","247","117","26.5","51","30","4","1","6","1","28",""
"서울시","동대문구","휘봉고등학교","http://hwibong.hs.kr","공립","일반고","공학","주간","130-874","서울특별시 동대문구 한천로 272  휘봉고등학교 (휘경동)","02-2116-7204","7","7","7","3","208","85","212","160","208","84","26.2","46","29","9","5","5","3","24",""
"서울시","강동구","강동고등학교","http://kangdong.hs.kr","사립","일반고","공학","주간","134-837","서울특별시 강동구 구천면로 572  강동고등학교 (상일동강동고등학교)","02-427-0233","10","10","10","0","302","125","289","112","299","117","29.7","58","9","4","3","6","1","30",""
"서울시","양천구","강서고등학교","http://www.gangseo.hs.kr","사립","일반고","남자","주간","158-815","서울특별시 양천구 목동중앙남로 27 (목동강서고등학교)","02-2642-0725","14","15","15","0","557","0","592","0","598","0","39.7","74","6","19","6","6","2","44",""
"서울시","광진구","건국대학교사범대학부속고등학교","http://www.konkuk.hs.kr","사립","일반고","공학","주간","143-701","서울특별시 광진구 능동로 120  건국대학교사범대학부속고등학교 (화양동건국대학교)","02-446-9082","12","12","13","0","475","156","457","198","510","229","39","73","19","9","5","5","3","45",""
"서울시","동작구","경문고등학교","http://kyungmoon.hs.kr/","사립","자율고","남자","주간","156-080","서울 동작구 동작대로 171 (동작동경문고등학교)","02-535-1301","10","10","10","0","295","0","259","0","252","0","26.9","53","2","7","5","6","0","34",""
"서울시","강서구","경복여자고등학교","http://www.kyungbokschool.net","사립","일반고","여자","주간","157-030","서울특별시 강서구 화곡로63길 40 (등촌동경복여자고등학교)","070-8855-6833","8","8","8","0","244","244","280","280","307","307","34.6","46","21","5","2","5","3","3",""
"서울시","마포구","경성고등학교","http://www.gyeongseong.hs.kr","사립","일반고","남자","주간","121-866","서울특별시 마포구 성미산로 111 (연남동경성중고등학교)","02-3140-1244","9","9","9","0","256","0","305","0","301","0","31.9","48","21","14","9","6","0","30",""
"서울시","종로구","경신고등학교","http://kyungshin.hs.kr","사립","일반고","남자","주간","110-530","서울특별시 종로구 혜화로 74 (혜화동경신중고등학교)","02-762-0393","10","11","11","0","338","0","381","0","396","0","34.8","61","14","11","7","6","0","36",""
