"전철역코드","전철역명","전철역명_영문","호선","외부코드","사이버스테이션","관리소코드","관리소명","개통일","전화번호","FAX번호","우편번호","주소","현장민원소","관광안내소","문화공간","항공권판매","장애인시설","만남의장소","주차장","자전거보관소","무인민원발급기","역무실","수유방","엘레베이터","에스컬레이터","휠체어리프트시설","스피드게이트","화장실","역명한자","유래","X좌표","Y좌표","X좌표(WGS)","Y좌표(WGS)"
"3216","가재울","Gajaeul","I2","I216","3216","","","2016-07-30","032-451-4316","032-451-4346","","인천광역시 서구 가좌동 288","","","","","","","","","","","Y","","","","","","","○ 가재울은 가재리(佳載里)의 한자로 표기하기 전에 사용하던 명칭이었다. 맑은 시내(佳佐川)가 있어 가재가 많이 살았다는 의미의 가재울은 시내 아래쪽에 연못이 있었는데 시내의 물이 흘러들지 않아 마른 연못이 돼서 건지(乾池)라고 불렀다. 이 건지에서도 큰 가재 한 마리가 나왔다고 한다.  가재울은 크게 보면 가좌동 전체를 말하며 좁은 의미로 보면 건지골 마을을 지칭한다. 대한민국 인천광역시 서구 가좌동에 위치한 가재울역은 인천 도시철도 2호선의 지하철역이다.","","","37.484192","126.683673"
"3211","가정","Gajeong(Lu1 City)","I2","I211","3211","","","2016-07-30","032-451-4311","032-451-4341","","인천광역시 서구 가정동 116-5","","","","","","","","","","","Y","","","","","","佳亭(樓苑城)","○ 루원시티(Lu1 City)는 인천광역시 서구 가정동에 개발할 신도시재생사업이며 옛 가정오거리 일대를 중심으로 개발할 예정인 뉴타운이다. 루원시티는 미래 도시의 패러다임을 이끌어 내는 최첨단 도시 최고의 공간과 최고의 사람들이 거주하는 명품 도시 항상 깨어있고 어디서든 편안한 인간중심도시 등의 의미를 갖고 있다.","","","37.524649","126.675539"
"3212","가정중앙시장","Gajeong Jungang Market","I2","I212","3212","","","2016-07-30","032-451-4312","032-451-4342","","인천광역시 서구 가정동 529","","","","","","","","","","","Y","","","","","","佳亭中央市場","○ 가정중앙시장역은 근처에 있는 '중앙시장'에서 유래하였는데 비교적 최근에 '정서진중앙시장'이라는 이름이 붙었다. 그러나 지리적인 특징 상 정서진이라 불리는 경인 아라뱃길 인천항과 거리가 있고 가정동에 있기 때문에 가정+중앙시장이라는 조합으로 역명이 완성되었다.","","","37.517054","126.676672"
"1265","가좌","Gajwa","K","K315","1265","410000","철도청구간","","02-373-1280","","03715","서울특별시 서대문구 수색로 27","","","","","","","","","","","N","","","","","게이트 외부","加佐","","480980","1129579","37.568491","126.915487"
"1851","가천대","Gachon Univ.","B","K223","1851","410000","코레일구간","","031-752-7788","","13306","경기도 성남시 수정구 성남대로 지하 1332","","","","","","","","","","","N","","","","","게이트 외부","嘉泉大","","527950","1096310","37.448605","127.126697"
"1323","가평","Gapyeong","G","P134","1323","410000","철도청구간","","031-581-2855","","12423","경기도 가평군 가평읍 문화로 13-42","","","","","","","","","","","N","","","","","게이트 외부","加平","","612227","1198065","37.814536","127.510739"
"1816","간석","Ganseok","1","155","1816","410000","철도청구간","","032-427-7788","","21504","인천광역시 남동구 석정로 522-14","N","N","N","N","N","N","N","N","","","N","","","","","게이트 내부","間石","신설당시 염전지역으로 가칭 염빙역으로 하였으나 산업화의 변동으로 염전이 서서히 사라지고 간석동에 위치하고 있어 간석역으로 확정됨.","432214","1100821","37.464737","126.694181"
"3123","간석오거리","Ganseogogeori","I","I123","3123","310000","인천구간","","032-434-3123","","21544","인천광역시 남동구 경인로 지하 642","N","N","N","N","N","N","N","N","N","","N","","","","","게이트 외부","間石五거리","○ 간석동은 본래 인천부 주안면 지역인데 1914년 행정구역 폐합에 따라 주안 가촌리 새말 벌터 실은재 석촌 쇠파니 풀무골 삼거리 기화집말을 병합하여 간촌과 석촌의 이름을 따서 간석리(間石里)라 하였다. 그후 인천부(시)에 편입되어 일본식 이름으로 목월정(木越町)이라 불리다가 해방후 1947년에 오늘의 간석동으로 변경되었다.","435212","1101395","37.467048","126.707938"
"1312","갈매","Galmae","G","P123","1312","410000","철도청구간","","1544-7788","","11903","경기도 구리시 갈매동 경춘북로 229","","","","","","","","","","","N","","","","","게이트 외부","葛梅","","525127","1147615","37.634118","127.114757"
"3117","갈산","Galsan","I","I117","3117","310000","인천구간","","032-511-4245","","21316","인천광역시 부평구 부평대로 지하 286","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","葛山","○ 갈산은 현재의 부평정수사업소 자리에 있었으며 칡이 넝쿨지어 우거져있었기에 갈월리 갈월 갈울리라 불리다 가 1946년에 지금의 갈산동이 되었다.","438274","1115301","37.517268","126.721514"
"0222","강남","Gangnam","2","222","0222","122400","종합운동장서비스센터","1982-12-23 00:00:00","02-6110-2221","6110 - 2229","06232","서울특별시 강남구 강남대로 지하 396","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","게이트 내부","江南","","506032","1109640","37.497175","127.027926"
"0222","강남","Gangnam","2","222","0222","122400","종합운동장서비스센터","1982-12-23 00:00:00","02-6110-2221","6110 - 2229","06232","서울특별시 강남구 강남대로 지하 396","N","N","N","N","Y","Y","N","N","Y","Y","Y","Y","N","Y","Y","게이트 내부","江南","○ 강남구의 중심부에 위치하고 있어 강남역이라 명명하였다.","506032","1109640","37.497175","127.027926"
"4307","강남","Gangnam","S","D7","0222","350750","신분당선","","031-8018-7710","","06232","서울특별시 강남구 강남대로 지하 396","","","","","","","","","","","N","","","","","게이트 내부외부","江南","","506032","1109640","37.497175","127.027926"
"4307","강남","Gangnam","S","D7","0222","350750","신분당선","","031-8018-7710","","06232","서울특별시 강남구 강남대로 지하 396","","","","","","","","","","","N","","","","","게이트 내부외부","江南","○ 강남구의 중심부에 위치하고 있어 강남역이라 명명하였다.","506032","1109640","37.497175","127.027926"
"2732","강남구청","Gangnam-gu Office","7","730","2732","350600","내방역무관리소","2000-08-01 00:00:00","02-6311-7301","","06099","서울특별시 강남구 학동로 지하 346","N","N","N","N","N","N","N","N","Y","","N","","","","","게이트 외부","江南區廳","","508965","1115207","37.517186","127.041280"
"2732","강남구청","Gangnam-gu Office","7","730","2732","350600","내방역무관리소","2000-08-01 00:00:00","02-6311-7301","","06099","서울특별시 강남구 학동로 지하 346","N","N","N","N","N","N","N","N","Y","","N","","","","","게이트 외부","江南區廳","○ 청담·논현·삼성 등 3개동의 경계부근(삼성동 8번지)에 위치하고 인근 강남구청으로 인하여 강남구청역으로 명명했다.","508965","1115207","37.517186","127.041280"
"1849","강남구청","Gangnam-Gu Office","B","K213","2732","410000","코레일구간","2012-10-4 9:00:00","02-519-5571","","06099","서울특별시 강남구 학동로 지하 346","","","","","","","","","","","N","","","","","게이트 외부","江南區廳","","508965","1115207","37.517186","127.041280"
"1849","강남구청","Gangnam-Gu Office","B","K213","2732","410000","코레일구간","2012-10-4 9:00:00","02-519-5571","","06099","서울특별시 강남구 학동로 지하 346","","","","","","","","","","","N","","","","","게이트 외부","江南區廳","○ 청담·논현·삼성 등 3개동의 경계부근(삼성동 8번지)에 위치하고 인근 강남구청으로 인하여 강남구청역으로 명명했다.","508965","1115207","37.517186","127.041280"
"4502","강남대","Kangnam Univ.","E","Y111","4502","410000","용인경전철","2014-09-20","031-329-3570","","17069","경기도 용인시 기흥구 중부대로 578","","","","","","","","","","","N","","","","","게이트 외부","江南大","","527800","1046600","37.270161","127.126033"
"2549","강동","Gangdong","5","548","2549","350250","강동역무관리소","1995-11-15 00:00:00","02-6311-5481","","05339","서울특별시 강동구 천호대로 지하 1097","N","N","N","N","Y","Y","Y","Y","","","Y","","","","","게이트 외부","江東","○ 수도 서울의 젖줄 한강 최상류 동쪽에 위치하여 가장 먼저 해가 뜨는 강동구의 명칭에서 유래하였다.<br /> ○ 삼국시대에 삼국이 각축을 벌여 백제가 최초로 도읍을 정한 하남 위례성의 중심지가 강동이다.","529040","1120490","37.535804","127.132481"
"2813","강동구청","Gangdong-gu Office","8","812","2813","350700","잠실역무관리소","1999-07-02 00:00:00","02-6311-8121","","05391","서울특별시 강동구 올림픽로 지하 550","N","N","N","N","N","N","N","Y","","","N","","","","","게이트 외부","江東區廳","○ 조선시대 고종32년 풍납토성 안쪽에 위치했다고 하여 성안말 안말 또는 성내처로 불리었던 곳으로 현재의 이름은 강동구청이 역세권에 위치하고 있어 이름을 따왔다.","526464","1118973","37.530341","127.120508"
"1269","강매","Gangmae","K","K319","1269","410000","철도청구간","","1544-7788","","10533","경기도 고양시 덕양구 소원로 202","","","","","","","","","","","N","","","","","게이트 내부","江梅","","465720","1141779","37.612314","126.843223"
"0214","강변","Gangbyeon","2","214","0214","121800","종합운동장영업소","1980-10-31 00:00:00","02-6110-2141","6110 - 2149","05116","서울특별시 광진구 강변역로 53","N","N","N","Y","Y","N","N","Y","N","Y","Y","Y","N","Y","Y","게이트 외부","江邊","○ 강변역은 한강변에 위치한다하여 강변역으로 명명하게 되었다.","520755","1120262","37.535095","127.094681"
"1326","강촌","Gangchon","G","P137","1326","410000","철도청구간","","033-261-7897","","24465","강원도 춘천시 남산면 강촌로 150","","","","","","","","","","","N","","","","","게이트 외부","江村","","639467","1195735","37.805723","127.634146"
"2559","개롱","Gaerong","5","P553","2559","350250","강동역무관리소","1995-03-30 00:00:00","02-6311-5581","","05769","서울특별시 송파구 오금로 지하 402","N","N","N","N","Y","N","N","Y","","","N","","","","","게이트 외부","開籠","○ 조선 인조 때 의주부윤 임경업장군이 갑박산에서 고리궤짝을 주워와서 현재 가락제2동 개롱근린공원 위치에서 열어보니 투구와 갑옷이 나왔다 하여 개롱이라 하고 마을 이름이 되고 역 이름으로 붙여졌다.<br /> ○ 처음에 개농역이라 하였다가 개롱역으로 바뀌었다.","529600","1110007","37.498079","127.134820"
"1801","개봉","Gaebong","1","143","1801","410000","철도청구간","","02-2639-3297","","08276","서울특별시 구로구 경인로40길 47","N","N","N","N","N","N","N","N","Y","","N","","","","","게이트 외부","開峯","현재 경인선과 남부순환로가 교차하는 남쪽에 있는 개웅산의 (개)자와 양천구 신정동과 경계를 이루는 매봉산의 (봉)자를 합하여 이름 붙이게 되었음.","468537","1109170","37.494594","126.858680"
"1027","개포동","Gaepo-dong","B","k219","1027","","코레일구간","2003-9-3 9:32:24","02-3412-4418","","06324","서울특별시 강남구 개포로 지하 420","","","","","","","","","","","N","","","","","게이트 외부","開浦洞","","514487","1107365","37.489116","127.066140"
"4101","개화","Gaehwa","9","901","4101","410000","9호선구간","2009-7-24","02-2656-0901","","07505","서울특별시 강서구 개화동로8길 19","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","게이트 외부","開花","","455020","1132300","37.578608","126.798153"
"2512","개화산","Gaehwasan","5","511","2512","350050","화곡역무관리소","1996-03-20 00:00:00","02-6311-5111","","07601","서울특별시 강서구 양천로 22","","","","","","","Y","Y","","","N","","","","","게이트 외부","開花山","○ 강서구 개화동에 있는 개화산에서 이름이 유래했다.<br /> ○ 이 산은 원래 주룡산이라고 하는데 신라시대 주룡선생이란 도인이 도를 닦다 죽은 후 그 자리에 꽃이 피어 개화산이라 불렀다고도 하고 산의 형상이 꽃피는 형상이라 그렇게 했다고도 한다.<br /> ○ 이후에 봉화를 올렸다 하여 개화산의 '화'를 '불화'로 쓰기도 한다.","457115","1130677","37.572399","126.806171"
"2560","거여","Geoyeo","5","P554","2560","350250","강동역무관리소","1995-03-30 00:00:00","02-6311-5591","구)5590-204","05744","서울특별시 송파구 오금로 지하 499","N","N","N","N","Y","N","N","Y","","","Y","","","","","게이트 외부","巨余","○ 송파구 거여동에서 따온 이름으로 이 지역이 본래 경기도 광주군 중래면의 일부로서 거암이란 사람이 살았으므로 거암리라 하던 것이 변하여 검이 겜리라 불리다가 경기도 구역획정에 따라 잔버드리 개롱리 뒷말을 병합하여 거여라 부른다.","531620","1108740","37.493105","127.144150"
"0212","건대입구","Konkuk Univ.","2","212","0212","121100","성수영업소","1980-10-31 0:0:0","02-6110-2121","6110 - 2121","05017","서울특별시 광진구 아차산로 243","Y","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","게이트 내부","建大入口","","515365","1121815","37.540693","127.070230"
"0212","건대입구","Konkuk Univ.","2","212","0212","121100","성수영업소","1980-10-31 0:0:0","02-6110-2121","6110 - 2121","05017","서울특별시 광진구 아차산로 243","Y","N","N","N","Y","Y","N","Y","Y","Y","N","Y","Y","Y","Y","게이트 내부","建大入口","○ 개통 당시에는 화양역(華陽驛)이었으나 인근에 건국대학교가 있어 1985년 7월 건대입구역으로 변경되었다.<br /> ○ 건대입구역이 위치한 화양동의 동명은 조선시대 궁궐의 말을 키우던 살곶이 목장이 이곳에 있었는데 세종임금 때 여기에 정자를 짓고 정자의 현판을 화양정(華陽亭)이라 지은데서 유래되었다.","515365","1121815","37.540693","127.070230"
"2729","건대입구","Konkuk Univ.","7","727","0212","350550","대공원역무관리소","1996-10-11 00:00:00","02-6311-7271","454-5439","05030","서울특별시 광진구 능동로 지하 110","N","N","N","N","Y","Y","N","Y","Y","","N","","","","","게이트 내부","建大入口","","515365","1121815","37.540693","127.070230"
"2729","건대입구","Konkuk Univ.","7","727","0212","350550","대공원역무관리소","1996-10-11 00:00:00","02-6311-7271","454-5439","05030","서울특별시 광진구 능동로 지하 110","N","N","N","N","Y","Y","N","Y","Y","","N","","","","","게이트 내부","建大入口","○ 개통 당시에는 화양역(華陽驛)이었으나 인근에 건국대학교가 있어 1985년 7월 건대입구역으로 변경되었다.<br /> ○ 건대입구역이 위치한 화양동의 동명은 조선시대 궁궐의 말을 키우던 살곶이 목장이 이곳에 있었는데 세종임금 때 여기에 정자를 짓고 정자의 현판을 화양정(華陽亭)이라 지은데서 유래되었다.","515365","1121815","37.540693","127.070230"
"3203","검단사거리","Geomdan Sageori","I2","I203","3203","","","2016-07-30","032-451-4303","032-451-4333","","인천광역시 서구 왕길동 234-1번지","","","","","","","","","","","Y","","","","","","黔丹十字路口","신(神) 또는 왕(王)을 뜻하는 고대어 검(黔＝儉＝衿)과 곡(谷. 마을)을 뜻하는 고대어 단(丹＝旦＝屯＝呑)의 합성어로 즉 신 또는 왕의 마을 또는 신에게 제사를 지내는 마을이라는 뜻에서 ‘검단(黔丹)’이 유래되었다.","","","37.601850","126.657108"
"3201","검단오류","Geomdan Oryu","I2","I201","3201","","","2016-07-30","032-451-4301","032-451-4331","","인천광역시 서구 오류동 450-4","","","","","","","","","","","Y","","","","","","黔丹梧柳","오류동은 한자지명으로 오동나무(梧)와 버드나무(柳)가 많아서 쓰게 되었다는 설과 마을 북쪽의 들이 조수가 드나드는 개펄이어서 오리가 많이 앉았기 때문에 ‘오리골’로 부르던 것이 ‘오리울’로 변천했다고도 하는데 ‘지명유래집’에는 ‘오리’ ‘여리’ ‘여래’ ‘어러’ 등은 모두 크다(大) 주(主)의 의미를 가졌다고 기록하고 있다. 이 오류동에는 300여 년 전에 심었다는 느티나무(홰나무)가 있다.","","","37.594877","126.627178"
"3208","검바위","Geombawi","I2","I208","3208","","","2016-07-30","032-451-4308","032-451-4338","","인천광역시 서구 검암동 72-15","","","","","","","","","","","Y","","","","","","黔石","○ 검바위라는 명칭은 이 지역에 크고 검은 바위가 있는데서 유래했다. 지명의 유래가 된 ‘검바위’ 는 지금 서인천고등학교 교내 한켠에 조성된 ‘검바위 공원’에 있다.","","","37.561405","126.677566"
"4209","검암","Geomam","A","A07","4209","410000","코레일공항철도 구간","","032-745-7460","032-745-7949","22694","인천광역시 서구 검바위로 26","","","","","","","","","","","N","","","","","게이트 내부외부","黔岩","","427682","1129830","37.569104","126.673728"
"4209","검암","Geomam","A","A07","4209","410000","코레일공항철도 구간","","032-745-7460","032-745-7949","22694","인천광역시 서구 검바위로 26","","","","","","","","","","","N","","","","","게이트 내부외부","黔岩","먼저 개통한 공항철도의 검암역은 원래 개통 이전에 예정된 역명이 경서역이었다. 그러나 2003년부터 검암지구 개발이 이루어지고 검암역 주변에 본격적으로 시가지가 형성되면서 검암동 주민들과 인천광역시 서구의 요구로 개통 직전에 역 이름을 검암역으로 확정하였다. 공항철도와의 환승을 위해 인천2호선의 역명도 검암역으로 통일하였다.","427682","1129830","37.569104","126.673728"
"3207","검암","Geoma","I2","I207","4209","","","2016-07-30","032-451-4307","032-451-4337","","인천시 서구 검암동 370-25","","","","","","","","","","","Y","","","","","","黔岩","","427682","1129830","37.569104","126.673728"
"3207","검암","Geoma","I2","I207","4209","","","2016-07-30","032-451-4307","032-451-4337","","인천시 서구 검암동 370-25","","","","","","","","","","","Y","","","","","","黔岩","먼저 개통한 공항철도의 검암역은 원래 개통 이전에 예정된 역명이 경서역이었다. 그러나 2003년부터 검암지구 개발이 이루어지고 검암역 주변에 본격적으로 시가지가 형성되면서 검암동 주민들과 인천광역시 서구의 요구로 개통 직전에 역 이름을 검암역으로 확정하였다. 공항철도와의 환승을 위해 인천2호선의 역명도 검암역으로 통일하였다.","427682","1129830","37.569104","126.673728"
"1504","경기광주","GyeonggiGwangju","KK","K413","1504","","","","","","","","","","","","","","","","","","","","","","","","京畿廣州","","","","37.399907","127.252630"
"4610","경기도청북부청사","Northern Gyeonggi-do Government","U","U120","4610","410000","의정부경전철","2014-12-06 00:00:00","031-820-1000","","11775","경기도 의정부시 장곡로 615","","","","","","","","","","","N","","","","","게이트 내부","京畿道廳北部廳舍","경기도청 북부청사의 고유 명칭을 사용","515700","1180050","37.750590","127.071495"
"1451","경마공원","Seoul Racecourse Park","4","436","1451","410000","철도청구간","","02-502-7892","","13822","경기도 과천시 경마공원대로 지하 105","","","","","","","","","","","N","","","","","게이트 외부","競馬公園","한국마사회가 1989.5.1 이곳에 "경마장"을 건립한 이후 경마이용객의 편의를 제공하기 위해 1994.4.1 과천선 개통시 "경마장역"으로 영업개시 하였으며 한국마사회 요청으로 2000.1.1 경마공원역으로 역명을 개정함","501607","1094842","37.443885","127.007888"
"0317","경복궁","Gyeongbokgung","3","327","0317","131700","경복궁서비스센터","1985-10-18 00:00:00","02-6110-3271","6110 - 3279","03170","서울특별시 종로구 사직로 지하 130","N","N","Y","Y","N","N","N","Y","N","Y","N","Y","Y","N","Y","게이트 내부","景福宮","○ 경복궁역은 인근에 경복궁이 있어 붙여진 이름으로 경복궁은 1395년(태조4년) 이성계가 창건한 조선왕조의 정궁으로서 국왕이 거처하며 국정을 논의하던 곳이다. 인근에 정부서울청사 서울지방경찰청 등 관공서들이 들어서 있다.","493895","1131520","37.575762","126.973530"
"3115","경인교대입구","Gyeongin National Univ. of Education","I","I115","3115","310000","인천구간","","032-553-3394","","21055","인천광역시 계양구 계양대로 지하 162","","","","","","","","","","","N","","","","","게이트 외부","京仁敎大入口","○ 인근에 인천교육대학교가 있어 붙여진 이름이며 당초에 교대역으로 하였으나 서울지하철의 교대역과 혼동 우려 로 인천교대역으로 제정됨.<br > ○ 인천교육대학교는 2003년3월1일 경인교육대학으로 학교명을 개정됨에 따라 경인교대입구역으로 역명 변경함","438555","1121145","37.538157","126.722597"
"4604","경전철의정부","Lrt Uijeongbu","U","U113","4604","410000","의정부경전철","2014-12-06 00:00:00","031-820-1000","","11650","경기도 의정부시 신흥로 237","","","","","","","","","","","N","","","","","게이트 내부","輕電鐵議政府","현재 경원선(수도권전철1호선)의 전철역명을 사용","509590","1176320","37.737202","127.043257"
"0341","경찰병원","National Police Hospital","3","351","0341","133400","도곡서비스센터","2010-02-18 00:00:00","02-6110-3511","6110-3519","05715","서울특별시 송파구 중대로 지하 149","N","N","N","N","N","Y","N","Y","N","Y","N","Y","Y","N","N","게이트 내부외부","警察病院","○ 역 인근에 국립경찰병원이 있어 명명되었다.","527245","1109277","37.495918","127.124540"
"3114","계산","Gyesan","I","I114","3114","310000","인천구간","","032-546-3151","","21056","인천광역시 계양구 경명대로 지하 1089","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","桂山","○ 이동네 이름이 계산동이다. 계산동은 계양산 아래에 위치한 마을이라고 지어진 이름이다. 인근 부평초등학교내에 정조임금이 활을 쏘았다는 어사대라는 문화재가 있다.","439762","1122675","37.543238","126.728128"
"3110","계양","Gyeyang","I","I110","3110","310000","인천구간","","032-710-9105","","21015","인천광역시 계양구 다남로 24","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","桂陽","","441522","1130440","37.571462","126.735637"
"3110","계양","Gyeyang","I","I110","3110","310000","인천구간","","032-710-9105","","21015","인천광역시 계양구 다남로 24","N","N","N","N","N","N","N","N","","","N","","","","","게이트 외부","桂陽","○ 계양동은 본래 고려(1018년)시대부터 지방제도 개혁을 황어형 황어향으로 2백년간 존속되었던 것으로 보이며 부평도호부 산하의 황어면은 둑실리 목상일 역동간산리 오류동 이화촌 노오지리 선주지리 장기리 등 9개 동리를 관할하였다. <br /> ○ 1914년 행정구역 통폐합에 따라 동면의 임학동 용종리 병방리 박촌리 방축리의 5개 동리와 당상면의 동양리 굴현리 상야리 하야리 평지등 5개리를 병합하여 계양면이라 하였다. 1917년에 병방리에 있던 계양면사무소를 장기리로 이전하고1973년에 김포군에 편입되었다. 1989년 인천직할시 북구에 편입되어 계양동이되어 계양면이 폐쇄되었으며 1992년 계양동이 계양1동 계양2동으로 분동되었다.","441522","1130440","37.571462","126.735637"
"4208","계양","Gyeyang","A","A06","3110","410000","코레일공항철도 구간","","032-745-7450","032-745-7949","21015","인천광역시 계양구 다남로 24","","","","","","","","","","","N","","","","","게이트 내부","桂陽","","441522","1130440","37.571462","126.735637"
"4208","계양","Gyeyang","A","A06","3110","410000","코레일공항철도 구간","","032-745-7450","032-745-7949","21015","인천광역시 계양구 다남로 24","","","","","","","","","","","N","","","","","게이트 내부","桂陽","○ 계양동은 본래 고려(1018년)시대부터 지방제도 개혁을 황어형 황어향으로 2백년간 존속되었던 것으로 보이며 부평도호부 산하의 황어면은 둑실리 목상일 역동간산리 오류동 이화촌 노오지리 선주지리 장기리 등 9개 동리를 관할하였다. <br /> ○ 1914년 행정구역 통폐합에 따라 동면의 임학동 용종리 병방리 박촌리 방축리의 5개 동리와 당상면의 동양리 굴현리 상야리 하야리 평지등 5개리를 병합하여 계양면이라 하였다. 1917년에 병방리에 있던 계양면사무소를 장기리로 이전하고1973년에 김포군에 편입되었다. 1989년 인천직할시 북구에 편입되어 계양동이되어 계양면이 폐쇄되었으며 1992년 계양동이 계양1동 계양2동으로 분동되었다.","441522","1130440","37.571462","126.735637"
"2553","고덕","Godeok","5","552","2553","350250","강동역무관리소","1995-11-15 00:00:00","02-6311-5521","","05233","서울특별시 강동구 고덕로 지하 253","N","N","N","N","Y","Y","N","Y","","","Y","","","","","게이트 외부","高德","○ 강동구 고덕동에서 따온 이름으로 고려말 형조참의 이양중이 태조의 조선건국을 반대하고 이 지역에 거주하면서 벼슬도 거절하는 등 굳은 절개를 지켜 주위로부터 덕이 높은 인물로 추앙 받아 고덕리 또는 고덕마을로 불려지게 된 데서 유래했다.","533850","1125845","37.555004","127.154151"
