"교육청","소재구","유치원명","설립","우편번호","주소","전화번호","학급수","학생수 계","여 학생수","정규 교원수 계","정규 여 교원수","기간제 교원수 계","기간제 여 교원수","비고"
"강동송파","강동구","유정유치원","사립","134-890","서울특별시 강동구 강동대로55길 83 (성내동)","02-471-3151","14","376","184","14","14","0","0",""
"강동송파","강동구","은새유치원","사립","134-858","서울특별시 강동구 고덕로 62  58","02-428-2256","4","59","32","5","4","0","0","신설"
"강동송파","강동구","준현유치원","사립","134-758","서울특별시 강동구 성내로3가길 61 (성내동성내동삼성아파트)","02-477-0287","6","140","66","11","11","0","0",""
"강동송파","강동구","천호유치원","사립","134-871","서울특별시 강동구 구천면로 238 (천호동)","02-470-1633","9","189","103","14","14","0","0",""
"강동송파","강동구","한성유치원","사립","134-808","서울특별시 강동구 명일로 251 (길동)","02-483-4560","8","160","61","10","10","0","0",""
"강동송파","강동구","한영중고등학교병설한영유치원","사립","134-710","서울특별시 강동구 동남로 832 (상일동한영중 고등학교)","02-426-2098","9","231","106","10","9","0","0",""
"강동송파","강동구","한울유치원","사립","134-760","서울특별시 강동구 올림픽로104길 36 (암사동한강현대아파트)","02-441-3939","4","83","52","6","6","0","0",""
"강동송파","강동구","화랑유치원","사립","134-862","서울특별시 강동구 천중로35길 37-1 (천호동)","02-472-1777","2","36","12","4","4","0","0",""
"강동송파","송파구","그림유치원","사립","138-857","서울특별시 송파구 동남로23나길 6  그림유치원 (오금동그림유치원)","02-403-0687","8","185","92","13","13","0","0",""
"강동송파","송파구","기린유치원","사립","138-848","서울특별시 송파구 백제고분로41길 20  기린유치원 (송파동)","02-418-1750","1","25","13","4","4","0","0",""
"강동송파","송파구","꿀벌유치원","사립","138-901","서울특별시 송파구 양산로8길 8  꿀벌유치원 (거여동)","02-3401-1752","4","120","58","9","8","0","0",""
"강동송파","송파구","꿈밭유치원","사립","138-892","서울특별시 송파구 올림픽로4길 32  꿈밭유치원 (잠실동)","02-413-4788","2","55","27","5","5","0","0",""
"강동송파","송파구","동삼유치원","사립","138-819","서울특별시 송파구 마천로41길 14  동삼유치원 (마천동)","02-400-1262","4","33","16","4","4","0","0",""
"강동송파","송파구","동화나라유치원","사립","138-874","서울특별시 송파구 강동대로3길 23  동화나라유치원 (풍납동G.K.I영어학원)","02-473-1136","8","200","109","17","17","0","0",""
"강동송파","송파구","리아유치원","사립","138-829","서울특별시 송파구 양재대로 1218  리아유치원 (방이동올림픽선수기자촌아파트)","02-404-0708","7","156","79","13","13","0","0",""
"강동송파","송파구","밀알유치원","사립","138-812","서울특별시 송파구 오금로46길 62  밀알유치원 (가락동)","02-400-4403","4","60","28","5","4","0","0",""
"강동송파","송파구","별나라유치원","사립","138-200","서울특별시 송파구 새말로8길 14  별나라유치원 (문정동건영아파트)","02-406-4915","2","80","36","4","4","0","0",""
"강동송파","송파구","불광유치원","사립","138-844","서울특별시 송파구 백제고분로39길 35  불광유치원 (석촌동불광사 중창불사)","02-422-1311","5","140","67","7","7","0","0",""
"강동송파","송파구","삼성유치원","사립","138-764","서울특별시 송파구 문정로 83  삼성유치원 (문정동문정래미안아파트)","02-3401-5678","6","169","81","11","11","0","0",""
"강동송파","송파구","상아유치원","사립","138-841","서울특별시 송파구 백제고분로32길 15  상아유치원 (삼전동상아유치원)","02-417-2972","4","102","56","6","6","0","0",""
"강동송파","송파구","새움유치원","사립","138-857","서울특별시 송파구 중대로27길 2  새움유치원 (오금동오금동어린이집)","02-430-4399","5","110","51","11","11","0","0",""
"강동송파","송파구","샛별유치원","사립","138-802","서울특별시 송파구 중대로9길 53-27  샛별유치원 (가락동샛별유치원)","02-408-1073","3","77","38","7","7","0","0",""
"강동송파","송파구","생명나무유치원","사립","138-946","서울특별시 송파구 송파대로8길 17  생명나무유치원 (장지동송파파인타운 9단지)","02-408-2443","9","199","101","10","10","0","0",""
"강동송파","송파구","석촌유치원","사립","138-847","서울특별시 송파구 백제고분로40길 20  석촌유치원 (석촌동석촌유지원)","02-414-6692","10","238","110","16","15","0","0",""
"강동송파","송파구","송파유정유치원","사립","138-923","서울특별시 송파구 충민로 177  송파유정유치원 (장지동)","02-408-3408","14","384","203","16","16","0","0",""
"강동송파","송파구","수정유치원","사립","138-828","서울특별시 송파구 위례성대로 28  수정유치원 (방이동임마누엘교회감리교)","02-412-5687","4","90","46","6","6","0","0",""
"강동송파","송파구","시연유치원","사립","138-170","서울특별시 송파구 오금로24길 25  시연유치원 (송파동시연유치원)","02-422-4770","6","164","83","14","14","0","0",""
"강동송파","송파구","신애유치원","사립","138-864","서울특별시 송파구 백제고분로19길 23  신애유치원 (잠실동신애유치원)","02-422-4380","6","156","76","11","11","0","0",""
"강동송파","송파구","아이코리아부속새세대유치원","사립","138-732","서울특별시 송파구 충민로6길 17  아이코리아부속 새세대유치원 (장지동다동)","02-2144-1150","4","111","58","8","8","0","0",""
"강동송파","송파구","아주유치원","사립","138-906","서울특별시 송파구 양산로2길 38  아주유치원 (거여동거여6단지아파트)","02-3401-4880","4","100","54","8","8","0","0",""
"강동송파","송파구","애림유치원","사립","138-832","서울특별시 송파구 백제고분로48길 31  애림유치원 (방이동대성빌딩)","02-412-7578","2","30","19","3","3","0","0",""
"강동송파","송파구","양무리유치원","사립","138-818","서울특별시 송파구 성내천로22길 16  양무리유치원 (마천동)","02-404-8664","1","30","11","3","3","0","0",""
"강동송파","송파구","예원유치원","사립","138-831","서울특별시 송파구 마천로 30  예원유치원 (방이동방이백제고분)","02-2203-9131","4","90","42","8","8","0","0",""
"강동송파","송파구","예은유치원","사립","138-777","서울특별시 송파구 오금로32길 5  예은유치원 (송파동가락삼익맨숀)","02-424-6767","6","155","83","7","7","0","0",""
"강동송파","송파구","오렌지유치원","사립","138-859","서울특별시 송파구 성내천로 85  오렌지유치원 (오금동몬테소리오렌지유치원)","02-402-5986","4","50","18","5","5","0","0",""
"강동송파","송파구","올림픽유치원","사립","138-829","서울특별시 송파구 양재대로 1218  올림픽유치원 (방이동올림픽선수기자촌아파트)","02-400-2440","7","138","68","13","13","0","0",""
"강동송파","송파구","우일유치원","사립","138-784","서울특별시 송파구 토성로 38-6  우일유치원 (풍납동한강극동아파트)","02-475-2011","11","283","129","14","14","0","0",""
"강동송파","송파구","은선유치원","사립","138-807","서울특별시 송파구 동남로11길 27  은선유치원 (가락동은선유치원)","02-400-9758","6","146","67","8","8","0","0",""
"강동송파","송파구","의명유치원","사립","138-856","서울특별시 송파구 오금로 321  의명유치원 (오금동오금역)","02-402-1930","6","170","83","8","8","0","0",""
"강동송파","송파구","잠실럭키유치원","사립","138-911","서울특별시 송파구 올림픽로 135  250동 앞 (잠실동리센츠)","02-424-5665","6","132","66","13","13","0","0",""
"강동송파","송파구","잠실밀알유치원","사립","138-915","서울특별시 송파구 석촌호수로 103 (잠실동유치원)","02-3431-2004","8","178","89","9","9","0","0",""
"강동송파","송파구","장미유치원","사립","138-240","서울특별시 송파구 올림픽로35길 118 (신천동잠실중앙교회장로회)","02-424-0090","3","84","43","8","8","0","0",""
"강동송파","송파구","정일유치원","사립","138-830","서울특별시 송파구 백제고분로48길 39 (방이동)","02-419-3017","2","25","10","4","4","0","0",""
"강동송파","송파구","제일무궁화유치원","사립","138-812","서울특별시 송파구 동남로16길 3 (가락동제일무궁화유치원)","02-406-5459","8","197","90","14","14","0","0",""
"강동송파","송파구","티움유치원","사립","138-854","서울특별시 송파구 송파대로36길 32-6 32-6","02-417-3408","4","86","38","5","5","0","0",""
"강동송파","송파구","푸른꿈유치원","사립","138-852","서울특별시 송파구 백제고분로46길 41 (송파동광명빌딩)","02-414-9742","1","19","8","4","4","0","0",""
"강동송파","송파구","한가람유치원","사립","138-780","서울특별시 송파구 한가람로 446 (풍납동동아한가람아파트)","02-486-1210","2","60","25","5","5","0","0",""
"강동송파","송파구","햇빛유치원","사립","138-930","서울특별시 송파구 올림픽로 435 (신천동파크리오)","02-421-2234","10","246","121","19","19","0","0",""
"강동송파","송파구","현대유치원","사립","138-785","서울특별시 송파구 올림픽로 525 (풍납동현대아파트)","02-470-2008","4","87","39","5","5","0","0",""
"강동송파","송파구","혜림유치원","사립","138-812","서울특별시 송파구 문정로13길 13 (가락동혜림몬테소리유치원)","02-400-5308","5","118","53","6","6","0","0",""
"강서","강서구","서울공진초등학교병설유치원","공립","157-807","서울특별시 강서구 양천로55길 22 (가양동공진초등학교)","02-2658-0211","2","52","27","2","2","0","0",""
"강서","강서구","서울공항초등학교병설유치원","공립","157-811","서울특별시 강서구 공항대로 91 (공항동공항초등학교)","02-2661-4560","4","70","28","4","4","2","2",""
"강서","강서구","서울내발산초등학교병설유치원","공립","157-703","서울특별시 강서구 강서로46길 23 (내발산동내발산초등학교)","02-3662-7670","3","70","35","3","3","1","1",""
"강서","강서구","서울염경초등학교병설유치원","공립","157-859","서울특별시 강서구 양천로69길 49 (염창동서울염경초등학교)","02-3662-1910","3","70","34","4","4","2","2",""
"강서","강서구","서울월정초등학교병설유치원","공립","157-884","서울특별시 강서구 월정로 176 (화곡동월정초등학교)","02-2694-5013","3","70","39","3","3","0","0","신설"
"강서","강서구","서울정곡초등학교병설유치원","공립","157-220","서울특별시 강서구 방화대로50길 22 (방화동정곡초등학교)","02-2666-3130","3","70","35","3","3","1","1",""
"강서","강서구","서울화일초등학교병설유치원","공립","157-871","서울특별시 강서구 까치산로10길 70 (화곡동서울화일초등학교)","02-2602-2139","2","52","25","2","2","0","0",""
"강서","양천구","서울강신초등학교병설유치원","공립","158-822","서울특별시 양천구 월정로 280 서울강신초등학교병설유치원 (신월동서울강신초등학교)","02-2699-9916","3","70","30","2","2","1","1","신설"
"강서","양천구","서울경인유치원","공립","158-879","서울특별시 양천구 안양천로 1009 (목동서울경인초등학교)","02-2646-4906","6","126","64","8","8","1","1",""
"강서","양천구","서울서정초등학교병설유치원","공립","158-050","서울특별시 양천구 목동로8길 19 (목동서울서정초등학교)","02-2643-7004","3","70","36","3","3","1","1",""
"강서","양천구","서울신기초등학교병설유치원","공립","158-070","서울특별시 양천구 신정로 292 (신정동서울신기초등학교)","02-2601-9846","3","70","27","3","3","1","1",""
"강서","양천구","서울신원초등학교병설유치원","공립","158-830","서울특별시 양천구 남부순환로58길 32 (신월동서울신원초등학교)","02-2608-4679","3","69","34","2","2","1","1",""
"강서","양천구","서울신은초등학교병설유치원","공립","158-070","서울특별시 양천구 신정이펜2로 30 (신정동)","070-4394-7191","3","71","41","3","3","1","1",""
"강서","양천구","서울양목초등학교병설유치원","공립","158-860","서울특별시 양천구 목동로11길 30 (신정동서울양목초등학교)","02-2604-8297","5","101","43","6","5","1","1",""
"강서","양천구","서울양화초등학교병설유치원","공립","158-809","서울특별시 양천구 목동중앙북로16길 57 (목동서울양화초등학교)","02-2646-1090","3","70","28","3","3","0","0","신설"
"강서","양천구","서울영도초등학교병설유치원","공립","158-875","서울특별시 양천구 목동중앙로 70 (목동서울영도초등학교)","02-2643-5978","5","122","65","6","6","1","1",""
"강서","양천구","서울월촌초등학교병설유치원","공립","158-873","서울특별시 양천구 목동중앙로 132 (목동서울월촌초등학교)","02-2643-3477","5","111","49","5","4","1","1",""
"강서","양천구","서울장수초등학교병설유치원","공립","158-865","서울특별시 양천구 신정로13가길 30 (신정동서울장수초등학교)","070-8668-2609","3","52","29","3","3","3","3",""
"강서","강서구","강서유치원","사립","157-913","서울특별시 강서구 까치산로 118 (화곡동) 강서유치원","02-2602-5225","8","190","100","15","15","0","0",""
"강서","강서구","공항제일유치원","사립","157-853","서울특별시 강서구 개화동로23길 100 (방화동공항제일유치원)","02-2662-3744","2","56","29","3","3","0","0",""
"강서","강서구","국제유치원","사립","157-210","서울특별시 강서구 양천로 30길4 국제유치원","02-3662-7404","6","130","69","11","10","0","0",""
"강서","강서구","대붕유치원","사립","157-748","서울특별시 강서구 허준로 176 (가양동가양도시개발공사아파트)","02-3663-1636","5","150","73","11","10","0","0",""
"강서","강서구","대유유치원","사립","157-898","서울특별시 강서구 곰달래로57길39 (화곡동대호빌라)","02-2643-7046","4","61","32","7","7","0","0",""
"강서","강서구","동그라미유치원","사립","157-915","서울특별시 강서구 화곡로44가길 52-14 (화곡동)","02-2691-2525","5","168","76","13","13","0","0",""
"강서","강서구","등촌이화유치원","사립","157-030","서울시 강서구 화곡로 63가길 26 등촌이화유치원","02-2658-3123","5","83","43","7","7","0","0",""
"강서","강서구","등촌제일유치원","사립","157-031","서울특별시 강서구 화곡로  66길 118(등촌동)","02-3663-6043","6","146","67","15","14","0","0",""
"강서","강서구","등현유치원","사립","157-924","서울특별시 강서구 화곡로 63가길 63 (화곡동)","02-3662-2205","4","93","48","6","6","0","0",""
"강서","강서구","문성유치원","사립","157-010","서울특별시 강서구 우현로 8 (화곡동문성유치원)","02-2604-5543","8","215","104","18","18","0","0",""
"강서","강서구","미도유치원","사립","157-927","서울특별시 강서구 공항대로 58가길 39 (등촌동)","02-2651-5079","4","68","28","8","8","0","0",""
"강서","강서구","미래유치원","사립","157-776","서울특별시 강서구 양천로6길 28  미래유치원 (방화동도시개발공사아파트)","02-2662-1160","4","64","37","7","7","0","0",""
"강서","강서구","미래클유치원","사립","157-980","서울 강서구 수명로 1길 76","02-2667-7979","11","171","76","13","13","0","0",""
"강서","강서구","방화이화유치원","사립","157-849","서울특별시 강서구 양천로17길 4-55 (방화동이화유치원)","02-2662-2017","4","96","50","9","9","0","0",""
"강서","강서구","보라유치원","사립","157-755","서울특별시 강서구 공항대로39길 100  등촌3동 대림아파트단지내 보라유치원 (등촌동등촌대림아파트)","02-2658-1154","5","101","51","8","8","0","0",""
"강서","강서구","새싹유치원","사립","157-900","서울특별시 강서구 곰달래로49가길 10  새싹유치원 (화곡동)","02-2651-1323","4","37","23","5","5","0","0",""
"강서","강서구","새화곡유치원","사립","157-881","서울특별시 강서구 강서로15길 40 (화곡동새화곡유치원)","02-2065-1014","2","55","24","5","5","0","0",""
"강서","강서구","서강유치원","사립","157-850","서울특별시 강서구 금낭화로13길 47-9  서강유치원 (방화동서강유치원)","02-2664-7428","6","143","82","11","11","0","0",""
"강서","강서구","선미유치원","사립","157-872","서울특별시 강서구 까치산로2길 43 (화곡동화곡본동천주교회)","02-2606-3341","6","134","67","12","12","0","0",""
"강서","강서구","수미유치원","사립","157-883","서울특별시 강서구 강서로17길 130 (화곡동수미유치원)","02-2697-3355","2","13","7","2","2","0","0",""
"강서","강서구","신세기유치원","사립","157-742","서울특별시 강서구 허준로 47   유치원동 (가양동)","02-2659-1257","5","147","75","11","11","0","0",""
"강서","강서구","신영유치원","사립","157-886","서울시 강서구 곰달래로 25길 4 신영유치원","02-2692-2729","6","112","56","12","12","0","0",""
"강서","강서구","아람유치원","사립","157-787","서울특별시 강서구 금낭화로23길 8  아람유치원 (방화동동성아파트)","02-2664-8888","4","73","36","7","7","0","0",""
"강서","강서구","아이파크예원유치원","사립","157-796","서울특별시 강서구 강서로 266 (화곡동우장산 아이파크 이편한세상)","02-2695-2940","7","176","67","15","15","0","0",""
"강서","강서구","예은유치원","사립","157-872","서울특별시 강서구 까치산로4길 101-5 (화곡동)","02-2698-4096","7","45","20","7","7","0","0",""
"강서","강서구","예일유치원","사립","157-280","서울특별시 강서구 강서로47길 126 (내발산동예일유치원)","02-2667-6767","13","308","145","19","19","0","0",""
"강서","강서구","예지유치원","사립","157-818","서울특별시 강서구 남부순환로11가길 89  (공항동)","02-2661-5969","3","59","23","6","6","0","0",""
"강서","강서구","우람유치원","사립","157-220","서울특별시 강서구 방화대로45길 32  방동동 동부센트레빌내 (방화동방화동 동부센트레빌)","02-2667-0645","8","160","86","12","12","0","0",""
"강서","강서구","우리곰유치원","사립","157-752","서울특별시 강서구 허준로 23  한강타운아파트 단지내 (가양동한강아파트)","02-2659-3323","5","105","44","9","9","0","0",""
"강서","강서구","우일유치원","사립","157-893","서울특별시 강서구 곰달래로47길 88 (화곡동우일유치원)","02-2602-4026","7","130","58","10","10","0","0",""
"강서","강서구","우현유치원","사립","157-791","서울특별시 강서구 강서로 348 (내발산동우장산힐스테이트) 상가2동 201","02-2271-3700","6","125","59","10","10","0","0",""
"강서","강서구","유니유치원","사립","157-746","서울특별시 강서구 허준로 175  1485번지 (가양동가양6단지아파트)","02-2659-5216","5","80","43","6","6","0","0",""
"강서","강서구","윤서유치원","사립","157-773","서울특별시 강서구 화곡로13길 107  (화곡동)","02-2605-2277","8","180","86","16","16","0","0",""
"강서","강서구","장미유치원","사립","157-743","서울특별시 강서구 허준로 139  장미유치원 (가양동강변아파트)","02-2668-0262","5","158","77","10","10","0","0",""
"강서","강서구","진일유치원","사립","157-751","서울특별시 강서구 허준로 121 (가양동대림아파트)","02-2659-4747","6","115","49","10","10","0","0",""
"강서","강서구","한나유치원","사립","157-785","서울특별시 강서구 금낭화로 287-19 (방화동방화5단지아파트)","02-2666-1004","8","178","76","15","15","0","0",""
"강서","강서구","해리유치원","사립","157-749","서울특별시 강서구 허준로 234  (가양동유치원동) (가양동가양9단지아파트)","02-2659-3296","7","126","74","10","10","0","0",""
"강서","강서구","홍신유치원","사립","157-834","서울특별시 강서구 강서로45길 63 (내발산동홍신유치원)","02-2664-6456","5","151","76","12","12","0","0",""
"강서","강서구","화곡유치원","사립","157-866","서울특별시 강서구 까치산로 60  화곡동 (화곡동화곡교회)","02-2697-3104","3","75","39","6","6","0","0",""
"강서","양천구","경성유치원","사립","158-775","서울특별시 양천구 목동로3길 57 (신정동양천아파트)","02-2648-4997","8","200","94","12","11","0","0",""
"강서","양천구","계상유치원","사립","158-865","서울특별시 양천구 남부순환로86길 22 (신정동계상유치원)","02-2625-5608","8","177","85","12","12","0","0",""
"강서","양천구","광영유치원","사립","158-823","서울시 양천구 남부순환로  30길 17","02-2603-6235","5","71","39","6","6","0","0",""
"남부","구로구","정훈유치원","사립","152-752","서울특별시 구로구 경인로 382  정훈유치원 (개봉동한마을아파트)","02-2683-6833","5","135","66","10","10","0","0",""
"남부","구로구","준희유치원","사립","152-895","서울특별시 구로구 경인로 19길  8-0 (오류동)","02-2614-4845","1","30","16","3","3","0","0",""
"남부","구로구","해길유치원","사립","152-140","서울특별시 구로구 연동로 303 (항동)","02-2625-0779","7","128","54","6","6","0","0",""
"남부","구로구","혜원유치원","사립","152-100","구로구 고척로 62-11 혜원유치원","02-2612-7735","5","139","76","10","10","0","0",""
"남부","금천구","독산유치원","사립","153-832","서울특별시 금천구 시흥대로98길 45 (독산동독산유치원)","02-804-9237","4","60","36","4","4","0","0",""
"남부","금천구","동산유치원","사립","153-010","서울특별시 금천구 시흥대로152길 35 (독산동동산유치원)","02-866-6571","4","66","38","5","5","0","0",""
"남부","금천구","동일유치원","사립","153-032","서울시 금천구 탑골로 10길  45","02-892-6478","6","136","64","9","9","2","2",""
"남부","금천구","럭키유치원","사립","153-761","서울특별시 금천구 시흥대로47길 43 럭키유치원 (시흥동럭키아파트)","02-806-0100","8","143","68","10","9","0","0",""
"남부","금천구","미성유치원","사립","151-868","서울특별시 금천구 문성로 37 (독산동)","02-868-9090","1","17","10","3","3","0","0",""
"남부","금천구","백상유치원","사립","153-841","서울특별시 금천구 탑골로3길 50  단지내 (시흥동현대아파트)","02-803-5485","2","33","14","2","2","0","0",""
"남부","금천구","서울국악유치원","사립","151-903","서울특별시 금천구 시흥대로 38길 62 (신림동금파)","02-896-2093","5","128","68","9","8","0","0",""
"남부","금천구","세나유치원","사립","153-857","서울특별시 금천구 시흥대로 72길13","02-807-5215","3","62","32","5","5","0","0",""
"남부","금천구","시내유치원","사립","153-754","서울특별시 금천구 가산로 99  시내유치원 (가산동두산위브아파트)","02-858-1436","6","140","70","10","9","0","0",""
"남부","금천구","양지유치원","사립","153-820","서울특별시 금천구 독산로108길 37 (독산동양지유치원)","02-839-4769","4","78","41","6","5","0","0",""
"남부","금천구","예림유치원","사립","153-764","서울특별시 금천구 금하로 793 (시흥동벽산아파트)","02-805-4945","8","168","80","12","12","0","0",""
"남부","금천구","운현유치원","사립","153-766","서울특별시 금천구 금하로 816  단지 내 유치원 (시흥동벽산아파트)","02-802-7018","9","166","91","13","13","0","0",""
"남부","금천구","조형유치원","사립","153-858","서울특별시 금천구 독산로1길 3  조형유치원 (시흥동조형유치원)","02-803-5199","4","109","48","11","10","0","0",""
"남부","금천구","참사랑유치원","사립","153-758","서울특별시 금천구 벚꽃로 73 참사랑유치원 (독산동금천현대아파트)","02-896-5881","6","112","58","8","8","3","3",""
"남부","금천구","한신유치원","사립","153-753","서울특별시 금천구 한내로 62 (독산동)","02-898-3031","7","176","86","10","9","0","0",""
"남부","영등포구","대림유치원","사립","150-820","서울특별시 영등포구 디지털로 455-7 (대림동)","02-833-9600","1","27","17","3","3","0","0",""
"남부","영등포구","돈보스꼬유치원","사립","150-830","서울특별시 영등포구 도림로114길 11 (도림동)","02-833-9041","8","189","98","14","14","0","0",""
"남부","영등포구","동천유치원","사립","150-861","서울특별시 영등포구 신길로40길 10 (신길동동천교회)","02-842-8972","3","87","36","5","5","0","0",""
"남부","영등포구","명신유치원","사립","150-841","서울특별시 영등포구 신길로41라길 13-9  명신유치원 (신길동)","02-832-5543","4","58","27","6","6","0","0",""
"남부","영등포구","무지개영재유치원","사립","150-804","서울특별시 영등포구 양산로17길 8 (당산동3가)","02-2675-0324","11","195","101","14","14","0","0","신설"
"남부","영등포구","살레시오성미유치원","사립","150-841","서울특별시 영등포구 신길로 93 살레시오성미유치원","02-849-7306","10","263","129","22","22","0","0",""
"남부","영등포구","성락유치원","사립","150-849","서울특별시 영등포구 가마산로51길 9  1층 성락유치원 (신길동)","02-835-3947","5","87","43","7","7","0","0",""
"남부","영등포구","성모유치원","사립","150-854","서울특별시 영등포구 가마산로89길 7 (신길동)","02-842-2903","5","126","63","9","9","0","0",""
"남부","영등포구","성민유치원","사립","150-050","서울특별시 영등포구 도신로56길 41-4  (신길동)","02-833-6634","2","70","30","6","6","0","0",""
"남부","영등포구","성심유치원","사립","150-833","서울특별시 영등포구 도림로 339  (도림동)","02-843-2220","4","107","54","7","7","0","0",""
"남부","영등포구","성요셉유치원","사립","150-761","서울특별시 영등포구 63로 45  시범아파트단지내 (여의도동)","02-783-6921","3","110","57","9","9","0","0",""
"남부","영등포구","성지유치원","사립","150-797","서울특별시 영등포구 도신로29길 28 (영등포동영등포푸르지오)","02-847-2120","4","109","55","11","11","0","0",""
"남부","영등포구","신길에덴유치원","사립","150-861","서울특별시 영등포구 신길로38길 21 (신길동)","02-833-1527","2","39","18","6","6","0","0",""
"남부","영등포구","신라유치원","사립","150-050","서울영등포구 영등포로 64길8 우성4차아파트","02-834-2222","3","67","31","6","6","0","0",""
"남부","영등포구","양평유치원","사립","150-867","서울특별시 영등포구 양평로 100  20길 7 (양평동4가)","02-2636-9246","1","34","14","4","4","0","0",""
"남부","영등포구","여의도유치원","사립","150-894","서울특별시 영등포구 여의동로 257  여의도 유치원 (여의도동천주교여의도교회)","02-782-0555","4","106","53","10","10","0","0",""
"남부","영등포구","여의유치원","사립","150-883","서울특별시 영등포구 국제금융로7길 3 (여의도동)","02-782-1492","2","60","33","7","7","0","0",""
"남부","영등포구","연화유치원","사립","150-839","서울특별시 영등포구 도신로60길 30  연화유치원 (신길동통해사)","02-813-6595","2","76","35","4","4","0","0",""
"남부","영등포구","영은유치원","사립","150-103","서울특별시 영등포구 양산로 61  (양평동3가)","02-2676-0568","3","81","39","6","6","0","0",""
"남부","영등포구","영중유치원","사립","150-038","서울특별시 영등포구 영중로 163   영중유치원 (영등포동8가)","02-2676-8276","6","139","69","10","10","0","0",""
"남부","영등포구","우성유치원","사립","150-849","서울특별시 영등포구 도신로 68-1  우성유치원 (신길동신길우성아파트)","02-847-2525","4","108","55","7","7","0","0",""
"남부","영등포구","은하유치원","사립","150-803","서울특별시 영등포구 당산로28길 11 (당산동3가)","02-2068-0109","3","82","42","5","5","0","0",""
"남부","영등포구","청은유치원","사립","150-862","서울특별시 영등포구 선유서로 76  상가2층  (양평동1가)","02-2677-0623","2","66","27","5","5","0","0",""
"남부","영등포구","침례유치원","사립","150-895","서울특별시 영등포구 국제금융로 118  침례교회 교육관 2층 친례유치원 (여의도동여의도침례교회 교육관)","02-783-2529","7","174","85","16","16","0","0",""
"남부","영등포구","큰나무유치원","사립","150-775","서울특별시 영등포구 도신로31길 큰나무유치원","02-832-3904","6","137","63","9","9","0","0",""
"남부","영등포구","파란나라유치원","사립","150-812","서울특별시 영등포구 도신로8길 17 (대림동파란나라유치원)","02-844-7115","10","220","116","17","17","0","0",""
"남부","영등포구","파랑새유치원","사립","150-812","서울특별시 영등포구 가마산로 384 (대림동남광빌딩)","02-834-3050","5","52","20","5","5","0","0",""
"남부","영등포구","평강유치원","사립","150-820","서울특별시 영등포구 신길로 27 (대림동)","02-848-0502","5","129","61","9","9","0","0",""
"남부","영등포구","평화유치원","사립","150-045","서울특별시 영등포구 선유동2로 40 (당산동5가)","02-2635-0525","2","60","29","7","7","0","0",""
